model_id,device,dtype,batch_size,batching,iterations,profile_iterations,warmup,max_new_tokens,latency_ms_mean,latency_ms_variance,latency_ms_stddev,latency_ms_p50,latency_ms_p95,latency_ms_p99,images_per_second,images_per_second_variance,images_per_second_stddev,text_length_mean,text_length_variance,text_length_p95,generated_tokens_mean,generated_tokens_variance,generated_tokens_p95,generated_tokens_max,cuda_peak_allocated_mb,cuda_peak_reserved_mb,trace_path,table_path
microsoft/trocr-base-printed,cuda,fp16,4,bucketed-text-length,50,1,3,32,107.0195,3952.8136,62.8714,75.9849,229.1721,291.4805,48.7514,546.3488,23.3741,10.57,86.6182,31.0,5.1,16.8141,14.0,23,1421.7188,1534.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs4.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs4.txt
microsoft/trocr-base-printed,cuda,fp16,8,bucketed-text-length,50,1,3,32,145.6086,7259.4217,85.2022,107.8581,360.2092,396.5553,69.1937,832.5274,28.8536,10.225,82.0896,33.0,4.99,16.5062,15.0,23,1453.9863,1634.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs8.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs8.txt
microsoft/trocr-base-printed,cuda,fp16,16,bucketed-text-length,50,1,3,32,226.5299,15894.594,126.0738,202.4181,516.2506,564.8189,89.5728,1560.5304,39.5035,12.4512,98.3305,33.0,5.9562,20.6527,16.0,23,1563.1177,1802.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs16.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs16.txt
microsoft/trocr-base-printed,cuda,fp16,32,bucketed-text-length,50,1,3,32,384.5639,47947.148,218.9684,290.3699,845.801,974.2707,105.5203,1999.2144,44.7126,11.39,97.9579,32.0,5.445,19.1652,15.0,23,1833.4956,2132.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs32.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs32.txt
microsoft/trocr-base-printed,cuda,fp16,64,bucketed-text-length,50,1,3,32,692.4767,152358.0432,390.3307,631.4308,1705.0997,1707.6094,113.7743,1943.7634,44.0881,10.5041,77.4392,31.0,5.0625,15.4459,14.0,23,2375.1265,2826.0,runs/trocr-sroie-bucketed-text-n50-bs64/traces/trocr_bs64.json.gz,runs/trocr-sroie-bucketed-text-n50-bs64/tables/trocr_bs64.txt
