model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,39,89.7792,44.5538,5.5,6,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,40,73.2019,54.6434,3.75,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,41,72.7446,54.9869,5.0,5,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,42,74.5539,53.6524,4.0,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,43,43.0701,92.8719,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,44,69.5582,57.5058,5.25,6,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,45,122.0211,32.7812,12.0,12,5.25,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,46,67.1509,59.5673,5.0,5,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,47,242.7269,16.4794,26.25,31,11.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,48,40.8901,97.8233,1.5,2,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,49,212.6052,18.8142,28.5,30,10.75,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,0,125.5208,63.7344,6.25,7,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,1,121.0668,66.0792,4.625,5,3.125,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,2,130.4857,61.3094,7.75,8,4.0,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,3,159.2482,50.2361,11.875,13,5.125,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,4,112.99,70.8027,5.125,6,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,5,92.1423,86.8222,3.625,4,2.375,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,6,356.7769,22.423,34.625,41,14.625,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,7,103.4745,77.3137,5.375,6,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,8,152.3153,52.5226,11.875,13,5.75,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,9,89.8521,89.0352,3.875,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,10,91.9812,86.9743,4.0,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,11,86.3093,92.6899,4.625,5,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,12,263.047,30.4128,22.375,24,10.625,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,13,158.7734,50.3863,11.875,13,5.5,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,14,152.6755,52.3987,11.75,13,5.625,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,15,88.5331,90.3617,3.75,4,2.25,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,16,89.2408,89.6451,5.25,6,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,17,104.9877,76.1994,5.25,6,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,18,152.5314,52.4482,12.0,13,5.375,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,19,86.8669,92.0949,5.0,5,2.875,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,20,170.9115,46.8079,13.25,15,6.375,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,21,86.7,92.2722,5.0,5,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,22,108.4368,73.7757,6.375,7,3.125,4
