model_id,device,dtype,batch_size,iterations,profile_iterations,warmup,max_new_tokens,latency_ms_mean,latency_ms_variance,latency_ms_stddev,latency_ms_p50,latency_ms_p95,latency_ms_p99,images_per_second,images_per_second_variance,images_per_second_stddev,text_length_mean,text_length_variance,text_length_p95,generated_tokens_mean,generated_tokens_variance,generated_tokens_p95,generated_tokens_max,cuda_peak_allocated_mb,cuda_peak_reserved_mb,trace_path,table_path
microsoft/trocr-base-printed,cuda,fp16,4,50,1,3,32,162.3095,3395.9983,58.2752,169.5487,250.3228,257.8405,29.1857,191.3695,13.8336,11.25,97.6859,32.0,5.45,18.5101,15.0,19,1420.5908,1532.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs4.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs4.txt
microsoft/trocr-base-printed,cuda,fp16,8,50,1,3,32,250.5896,5287.8526,72.7176,252.6788,365.7835,379.1911,34.9273,122.2021,11.0545,10.2025,79.5253,30.0,4.8825,15.3571,13.0,20,1450.7319,1634.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs8.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs8.txt
microsoft/trocr-base-printed,cuda,fp16,16,50,1,3,32,377.6596,6652.7252,81.5642,386.1035,487.3774,554.8562,44.7009,135.1029,11.6234,11.06,88.9776,31.0,5.3225,17.6731,15.0,23,1563.1177,1802.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs16.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs16.txt
microsoft/trocr-base-printed,cuda,fp16,32,50,1,3,32,776.6842,14997.0675,122.4625,769.9938,970.4978,972.4559,42.2446,46.9747,6.8538,11.2925,94.112,32.0,5.4406,19.1147,15.0,23,1833.4956,2132.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs32.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs32.txt
microsoft/trocr-base-printed,cuda,fp16,64,50,1,3,32,1435.7786,34119.3403,184.7142,1426.9855,1722.8693,1723.3834,45.3291,37.1333,6.0937,11.0147,88.6834,31.0,5.2925,17.3736,14.0,23,2374.2515,2952.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs64.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs64.txt
